,KO,Description,hsa,ptr,pps,ggo,pon,ppyg
4394,K04665,AMH; anti-mullerian hormone,1,1,1,1,1,1
4395,K04666,NODAL; nodal,1,1,1,1,1,1
4396,K04667,INHBA; inhibin beta A chain,1,1,1,1,1,1
4397,K04668,LEFTY; left-right determination factor,1,1,1,1,1,1
4398,K04669,"TGFBRX; TGF-beta receptor, other",0,0,0,0,0,0
4399,K04670,ACVR2A; activin receptor type-2A [EC:2.7.11.30],1,1,1,0,1,1
4400,K04671,BMPR2; bone morphogenetic protein receptor type-2 [EC:2.7.11.30],1,1,1,1,1,1
4401,K04672,AMHR2; anti-mullerian hormone receptor type-2 [EC:2.7.11.30],1,1,1,1,1,1
4402,K04673,"BMPR1A, ALK3, CD292; bone morphogenetic protein receptor type-1A [EC:2.7.11.30]",1,1,1,1,1,1
4403,K04674,"TGFBR1, ALK5; TGF-beta receptor type-1 [EC:2.7.11.30]",1,1,1,1,1,1
4404,K04675,"ACVR1, ALK2; activin receptor type-1 [EC:2.7.11.30]",1,1,1,1,1,1
4405,K04676,SMAD1; mothers against decapentaplegic homolog 1,1,1,1,1,1,1
4406,K04677,SMAD6; mothers against decapentaplegic homolog 6,1,1,1,1,1,1
4407,K04678,SMURF; E3 ubiquitin ligase SMURF1/2 [EC:2.3.2.26],1,1,1,1,1,1
4408,K04679,"MADHIP, SARA; MAD, mothers against decapentaplegic interacting protein",1,1,1,1,1,1
4409,K04680,ID1; DNA-binding protein inhibitor ID1,1,1,1,1,1,1
4410,K04681,RBL1; retinoblastoma-like protein 1,1,1,1,1,1,1
4411,K04682,E2F4_5; transcription factor E2F4/5,1,1,1,1,1,1
4412,K04683,TFDP1; transcription factor Dp-1,1,1,1,1,1,1
4413,K04684,SP1; transcription factor Sp1,1,1,1,1,1,1
4414,K04685,"CDKN2B, P15, INK4B; cyclin-dependent kinase inhibitor 2B",1,1,1,1,1,1
4415,K04686,PITX2; paired-like homeodomain transcription factor 2,1,1,1,1,1,1
4416,K04687,IFNG; interferon gamma,1,1,1,1,1,1
4417,K04688,RPS6KB; ribosomal protein S6 kinase beta [EC:2.7.11.1],1,1,1,1,1,1
4418,K04690,"FZDN, fz3; frizzled",0,0,0,0,0,0
4419,K04691,"hhoB, degS; serine protease DegS [EC:3.4.21.-]",0,0,0,0,0,0
4420,K04692,STAT3; signal transducer and activator of transcription 3,1,1,1,1,1,1
4421,K04693,"IRF9, ISGF3G, P48; interferon regulatory factor 9",1,1,1,1,1,1
4422,K04694,"SOCS1, JAB; suppressor of cytokine signaling 1",1,1,1,1,1,1
4423,K04695,"SOCS2, CIS2; suppressor of cytokine signaling 2",1,1,1,1,1,1
4424,K04696,"SOCS3, CIS3; suppressor of cytokine signaling 3",1,1,1,1,1,1
4425,K04697,SOCS4; suppressor of cytokine signaling 4,1,1,1,1,1,1
4426,K04698,SOCS5; suppressor of cytokine signaling 5,1,1,1,1,1,1
4427,K04699,SOCS6_7; suppressor of cytokine signaling 6/7,1,1,1,1,1,1
4428,K04701,CISH; cytokine inducible SH2-containing protein,1,1,1,1,1,1
4429,K04702,PIM1; proto-oncogene serine/threonine-protein kinase Pim-1 [EC:2.7.11.1],1,1,1,1,1,1
4430,K04703,"SPRED; sprouty-related, EVH1 domain-containing protein",1,1,1,1,1,1
4431,K04704,SPRY1; protein sprouty homolog 1,1,1,1,1,1,1
4432,K04705,STAM; signal transducing adaptor molecule,1,1,1,1,1,1
4433,K04706,PIAS1; E3 SUMO-protein ligase PIAS1 [EC:2.3.2.-],1,1,1,1,1,1
4434,K04707,CBL; E3 ubiquitin-protein ligase CBL [EC:2.3.2.27],1,1,1,1,1,1
4435,K04708,KDSR; 3-dehydrosphinganine reductase [EC:1.1.1.102],1,1,1,1,1,1
4436,K04709,"LAG1, LAC1; very-long-chain ceramide synthase [EC:2.3.1.297]",0,0,0,0,0,0
4437,K04710,"CERS1, LASS1; sphingoid base N-stearoyltransferase [EC:2.3.1.299]",1,1,1,1,1,1
4438,K04711,"ACER3, YDC1; dihydroceramidase [EC:3.5.1.-]",1,1,1,1,1,1
4439,K04712,DEGS; sphingolipid 4-desaturase/C4-monooxygenase [EC:1.14.19.17 1.14.18.5],1,1,1,1,1,1
4440,K04713,SUR2; sphinganine C4-monooxygenase [EC:1.14.18.5],0,0,0,0,0,0
4441,K04714,SGMS; sphingomyelin synthase / phosphatidylethanolamine phospholipase C [EC:2.7.8.27 3.1.4.62],1,1,1,1,1,1
4442,K04715,CERK; ceramide kinase [EC:2.7.1.138],1,1,1,1,1,1
4443,K04716,SGPP1; sphingosine-1-phosphate phosphatase 1 [EC:3.1.3.-],1,1,1,1,1,1
4444,K04717,SGPP2; sphingosine-1-phosphate phosphotase 2 [EC:3.1.3.-],1,1,1,1,1,1
4445,K04718,SPHK; sphingosine kinase [EC:2.7.1.91],1,1,1,1,1,1
4446,K04719,"bluB; 5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]",0,0,0,0,0,0
4447,K04720,cobD; threonine-phosphate decarboxylase [EC:4.1.1.81],0,0,0,0,0,0
4448,K04721,"TNFSF10, TRAIL, CD253; tumor necrosis factor ligand superfamily member 10",1,1,1,1,1,1
4449,K04722,"TNFRSF10A_B, TRAILR1_2, DR4_5, CD261_2; tumor necrosis factor receptor superfamily member 10A/B",1,1,1,1,1,1
4450,K04723,IL1RAP; interleukin 1 receptor accessory protein,1,1,1,1,1,1
4451,K04724,"CFLAR, FLIP; CASP8 and FADD-like apoptosis regulator",1,1,1,0,1,1
4452,K04725,"XIAP, BIRC4; E3 ubiquitin-protein ligase XIAP [EC:2.3.2.27]",1,1,1,1,1,1
4453,K04726,BID; BH3 interacting domain death agonist,1,1,1,1,1,1
4454,K04727,"AIFM1, PDCD8; apoptosis-inducing factor 1 [EC:1.-.-.-]",1,1,1,1,1,1
4455,K04728,"ATM, TEL1; serine-protein kinase ATM [EC:2.7.11.1]",1,1,1,1,1,1
4456,K04729,MYD88; myeloid differentiation primary response protein MyD88,1,1,1,1,1,1
4457,K04730,IRAK1; interleukin-1 receptor-associated kinase 1 [EC:2.7.11.1],1,1,1,1,1,1
4458,K04731,IRAK2; interleukin-1 receptor-associated kinase 2 [EC:2.7.11.1],1,1,1,1,1,1
4459,K04732,IRAK3; interleukin-1 receptor-associated kinase 3 [EC:2.7.11.1],1,1,1,1,1,1
4460,K04733,IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1],1,1,1,1,1,1
4461,K04734,NFKBIA; NF-kappa-B inhibitor alpha,1,1,1,1,1,1
4462,K04735,RELA; transcription factor p65,1,1,1,1,1,1
4463,K04736,IL3; interleukin 3,1,1,1,1,1,1
4464,K04737,"IL3RA, CD123; interleukin 3 receptor alpha",1,0,0,0,0,1
4465,K04738,"CSF2RB, IL3RB, CD131; cytokine receptor common subunit beta",1,1,1,1,1,1
4466,K04739,PRKAR; cAMP-dependent protein kinase regulator,1,1,1,1,1,1
4467,K04740,CAPN12; calpain-12 [EC:3.4.22.-],1,1,1,1,1,1
4468,K04741,CASP12; caspase 12 [EC:3.4.22.-],1,1,1,1,1,1
4469,K04742,CHST12; chondroitin 4-sulfotransferase 12 [EC:2.8.2.5],1,1,1,1,1,1
4470,K04743,CHST7; chondroitin 6-sulfotransferase 7 [EC:2.8.2.17],1,1,1,1,1,1
4471,K04744,"lptD, imp, ostA; LPS-assembly protein",0,0,0,0,0,0
4472,K04745,CHST2; carbohydrate 6-sulfotransferase 2 [EC:2.8.2.-],1,1,1,1,1,1
4473,K04746,CHST4; carbohydrate 6-sulfotransferase 4 [EC:2.8.2.-],1,1,1,1,1,1
4474,K04747,norF; nitric oxide reductase NorF protein,0,0,0,0,0,0
4475,K04748,norQ; nitric oxide reductase NorQ protein,0,0,0,0,0,0
4476,K04749,rsbV; anti-sigma B factor antagonist,0,0,0,0,0,0
4477,K04750,phnB; PhnB protein,0,0,0,0,0,0
4478,K04751,glnB; nitrogen regulatory protein P-II 1,0,0,0,0,0,0
4479,K04752,glnK; nitrogen regulatory protein P-II 2,0,0,0,0,0,0
4480,K04753,sufI; suppressor of ftsI,0,0,0,0,0,0
4481,K04754,"mlaA, vacJ; phospholipid-binding lipoprotein MlaA",0,0,0,0,0,0
4482,K04755,"fdx; ferredoxin, 2Fe-2S",0,0,0,0,0,0
4483,K04756,ahpD; lipoyl-dependent peroxiredoxin subunit D [EC:1.11.1.28],0,0,0,0,0,0
4484,K04757,rsbW; serine/threonine-protein kinase RsbW [EC:2.7.11.1],0,0,0,0,0,0
4485,K04758,feoA; ferrous iron transport protein A,0,0,0,0,0,0
4486,K04759,feoB; ferrous iron transport protein B,0,0,0,0,0,0
4487,K04760,greB; transcription elongation factor GreB,0,0,0,0,0,0
4488,K04761,"oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator",0,0,0,0,0,0
4489,K04762,hslR; ribosome-associated heat shock protein Hsp15,0,0,0,0,0,0
4490,K04763,xerD; integrase/recombinase XerD,0,0,0,0,0,0
4491,K04764,"ihfA, himA; integration host factor subunit alpha",0,0,0,0,0,0
4492,K04765,mazG; nucleoside triphosphate diphosphatase [EC:3.6.1.9],0,0,0,0,0,0
4493,K04766,acuA; acetoin utilization protein AcuA [EC:2.3.1.-],0,0,0,0,0,0
4494,K04767,acuB; acetoin utilization protein AcuB,0,0,0,0,0,0
4495,K04768,acuC; acetoin utilization protein AcuC,0,0,0,0,0,0
4496,K04769,"spoVT; AbrB family transcriptional regulator, stage V sporulation protein T",0,0,0,0,0,0
4497,K04770,lonH; Lon-like ATP-dependent protease [EC:3.4.21.-],0,0,0,0,0,0
4498,K04771,"degP, htrA; serine protease Do [EC:3.4.21.107]",0,0,0,0,0,0
4499,K04772,"degQ, hhoA; serine protease DegQ [EC:3.4.21.-]",0,0,0,0,0,0
4500,K04773,sppA; protease IV [EC:3.4.21.-],0,0,0,0,0,0
4501,K04774,sohB; serine protease SohB [EC:3.4.21.-],0,0,0,0,0,0
4502,K04775,ydgD; protease YdgD [EC:3.4.21.-],0,0,0,0,0,0
4503,K04778,vibH; vibriobactin synthetase,0,0,0,0,0,0
4504,K04780,dhbF; glyine---[glycyl-carrier protein] ligase [EC:6.2.1.66],0,0,0,0,0,0
4505,K04781,"mbtI, irp9, ybtS; salicylate synthetase [EC:5.4.4.2 4.2.99.21]",0,0,0,0,0,0
4506,K04782,pchB; isochorismate pyruvate lyase [EC:4.2.99.21],0,0,0,0,0,0
4507,K04783,"irp5, ybtE; yersiniabactin salicyl-AMP ligase [EC:6.3.2.-]",0,0,0,0,0,0
4508,K04784,"irp2, HMWP2; yersiniabactin nonribosomal peptide synthetase",0,0,0,0,0,0
4509,K04785,"irp3, ybtU; yersiniabactin synthetase, thiazolinyl reductase component",0,0,0,0,0,0
4510,K04786,"irp1, HMWP1; yersiniabactin nonribosomal peptide/polyketide synthase",0,0,0,0,0,0
4511,K04787,mbtA; mycobactin salicyl-AMP ligase [EC:6.3.2.-],0,0,0,0,0,0
4512,K04788,mbtB; mycobactin phenyloxazoline synthetase,0,0,0,0,0,0
4513,K04789,mbtE; mycobactin peptide synthetase MbtE,0,0,0,0,0,0
4514,K04790,mbtC; mycobactin polyketide synthetase MbtC,0,0,0,0,0,0
4515,K04791,mbtD; mycobactin polyketide synthetase MbtD,0,0,0,0,0,0
4516,K04792,mbtF; mycobactin peptide synthetase MbtF,0,0,0,0,0,0
4517,K04793,mbtG; mycobactin lysine-N-oxygenase,0,0,0,0,0,0
4518,K04794,"PTH2, PTRH2; peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]",1,1,1,1,1,1
4519,K04795,flpA; fibrillarin-like pre-rRNA processing protein,0,0,0,0,0,0
4520,K04796,RUXX; small nuclear ribonucleoprotein,0,0,0,0,0,0
4521,K04797,"pfdA, PFDN5; prefoldin alpha subunit",1,1,1,1,1,1
4522,K04798,"pfdB, PFDN6; prefoldin beta subunit",1,1,1,1,1,1
4523,K04799,"FEN1, RAD2; flap endonuclease-1 [EC:3.1.-.-]",1,1,1,1,1,1
4524,K04800,rfcL; replication factor C large subunit,0,0,0,0,0,0
4525,K04801,rfcS; replication factor C small subunit,0,0,0,0,0,0
4526,K04802,PCNA; proliferating cell nuclear antigen,1,1,1,1,1,1
4527,K04803,CHRNA1; nicotinic acetylcholine receptor alpha-1,1,1,1,1,1,1
4528,K04804,CHRNA2; nicotinic acetylcholine receptor alpha-2,1,1,1,1,1,1
4529,K04805,CHRNA3; nicotinic acetylcholine receptor alpha-3,1,1,1,1,1,1
4530,K04806,CHRNA4; nicotinic acetylcholine receptor alpha-4,1,1,1,1,1,1
4531,K04807,CHRNA5; nicotinic acetylcholine receptor alpha-5,1,1,1,1,1,1
4532,K04808,CHRNA6; nicotinic acetylcholine receptor alpha-6,1,1,1,1,1,1
4533,K04809,CHRNA7; nicotinic acetylcholine receptor alpha-7,1,1,1,1,1,1
4534,K04810,CHRNA9; nicotinic acetylcholine receptor alpha-9,1,1,1,1,1,1
4535,K04811,CHRNA10; nicotinic acetylcholine receptor alpha-10,1,1,1,1,1,1
4536,K04812,CHRNB1; nicotinic acetylcholine receptor beta-1,1,1,1,1,1,1
4537,K04813,CHRNB2; nicotinic acetylcholine receptor beta-2,1,1,1,1,1,1
4538,K04814,CHRNB3; nicotinic acetylcholine receptor beta-3,1,1,1,1,1,1
4539,K04815,CHRNB4; nicotinic acetylcholine receptor beta-4,1,1,1,1,1,1
4540,K04816,CHRND; nicotinic acetylcholine receptor delta,1,1,0,1,1,1
4541,K04817,CHRNE; nicotinic acetylcholine receptor epsilon,1,1,1,1,1,1
4542,K04818,CHRNG; nicotinic acetylcholine receptor gamma,1,1,1,1,1,1
4543,K04819,HTR3; 5-hydroxytryptamine receptor 3,1,1,1,1,1,1
4544,K04824,"SCNN1A, ENACA; amiloride-sensitive sodium channel subunit alpha",1,1,1,1,1,1
4545,K04825,"SCNN1B, ENACB; amiloride-sensitive sodium channel subunit beta",1,1,1,1,1,1
4546,K04826,"SCNN1D, ENACD; amiloride-sensitive sodium channel subunit delta",1,1,1,1,1,1
4547,K04827,"SCNN1G, ENACG; amiloride-sensitive sodium channel subunit gamma",1,1,1,1,1,1
4548,K04828,"ASIC2, ACCN1, BNAC1; acid-sensing ion channel 2",1,1,1,1,1,1
4549,K04829,"ASIC1, ACCN2, BNAC2; acid-sensing ion channel 1",1,1,1,1,1,1
4550,K04830,"ASIC3, ACCN3; acid-sensing ion channel 3",1,1,1,1,1,1
4551,K04831,"ASIC4, ACCN4, BNAC4; acid-sensing ion channel 4",1,1,1,1,1,1
4552,K04832,"ASIC5, ACCN5; acid-sensing ion channel 5",1,1,1,1,1,1
4553,K04833,"SCN1A, NAV1.1; voltage-gated sodium channel type I alpha",1,1,1,1,1,1
4554,K04834,"SCN2A, NAV1.2; voltage-gated sodium channel type II alpha",1,1,1,1,1,1
4555,K04835,mal; methylaspartate ammonia-lyase [EC:4.3.1.2],0,0,0,0,0,0
4556,K04836,"SCN3A, NAV1.3; voltage-gated sodium channel type III alpha",1,1,1,1,1,1
4557,K04837,"SCN4A, NAV1.4; voltage-gated sodium channel type IV alpha",1,1,1,1,1,1
4558,K04838,"SCN5A, NAV1.5; voltage-gated sodium channel type V alpha",1,1,0,1,1,1
4559,K04839,"SCN7A, SCN6A; voltage-gated sodium channel type VII alpha",1,1,1,1,1,1
4560,K04840,"SCN8A, NAV1.6; voltage-gated sodium channel type VIII alpha",1,1,1,1,1,1
4561,K04841,"SCN9A, NAV1.7; voltage-gated sodium channel type IX alpha",1,1,1,1,1,1
4562,K04842,"SCN10A, NAV1.8; voltage-gated sodium channel type X alpha",1,1,1,1,1,1
4563,K04843,"SCN11A, NAV1.9; voltage-gated sodium channel type XI alpha",1,1,1,1,1,1
4564,K04845,SCN1B; voltage-gated sodium channel type I beta,1,1,1,1,1,1
4565,K04846,SCN2B; voltage-gated sodium channel type II beta,1,1,1,1,1,1
4566,K04847,SCN3B; voltage-gated sodium channel type III beta,1,1,1,1,1,1
4567,K04848,SCN4B; voltage-gated sodium channel type IV beta,1,1,1,1,1,1
4568,K04849,"CACNA1B, CAV2.2; voltage-dependent calcium channel N type alpha-1B",1,1,1,1,1,1
4569,K04850,"CACNA1C, CAV1.2; voltage-dependent calcium channel L type alpha-1C",1,1,1,1,1,1
4570,K04851,"CACNA1D, CAV1.3; voltage-dependent calcium channel L type alpha-1D",1,1,1,1,1,1
4571,K04852,"CACNA1E, CAV2.3; voltage-dependent calcium channel R type alpha-1E",1,1,1,1,1,1
4572,K04853,"CACNA1F, CAV1.4; voltage-dependent calcium channel L type alpha-1F",1,1,1,1,1,1
4573,K04854,"CACNA1G, CAV3.1; voltage-dependent calcium channel T type alpha-1G",1,1,1,1,1,1
4574,K04855,"CACNA1H, CAV3.2; voltage-dependent calcium channel T type alpha-1H",1,1,1,1,1,1
4575,K04856,"CACNA1I, CAV3.3; voltage-dependent calcium channel T type alpha-1I",1,1,1,1,1,1
4576,K04857,"CACNA1S, CAV1.1; voltage-dependent calcium channel L type alpha-1S",1,1,1,1,1,1
4577,K04858,CACNA2D1; voltage-dependent calcium channel alpha-2/delta-1,1,1,1,1,1,1
4578,K04859,CACNA2D2; voltage-dependent calcium channel alpha-2/delta-2,1,1,1,1,1,1
4579,K04860,CACNA2D3; voltage-dependent calcium channel alpha-2/delta-3,1,1,1,1,1,1
4580,K04861,CACNA2D4; voltage-dependent calcium channel alpha-2/delta-4,1,1,1,1,1,1
4581,K04862,CACNB1; voltage-dependent calcium channel beta-1,1,1,1,1,1,1
4582,K04863,CACNB2; voltage-dependent calcium channel beta-2,1,1,1,1,1,1
4583,K04864,CACNB3; voltage-dependent calcium channel beta-3,1,1,1,1,1,1
4584,K04865,CACNB4; voltage-dependent calcium channel beta-4,1,1,1,1,1,1
4585,K04866,CACNG1; voltage-dependent calcium channel gamma-1,1,1,1,1,1,1
4586,K04867,CACNG2; voltage-dependent calcium channel gamma-2,1,1,1,1,1,1
4587,K04868,CACNG3; voltage-dependent calcium channel gamma-3,1,1,1,1,1,1
4588,K04869,CACNG4; voltage-dependent calcium channel gamma-4,1,1,1,1,1,1
4589,K04870,CACNG5; voltage-dependent calcium channel gamma-5,1,1,1,1,1,1
4590,K04871,CACNG6; voltage-dependent calcium channel gamma-6,1,1,1,1,1,1
4591,K04872,CACNG7; voltage-dependent calcium channel gamma-7,1,1,1,1,1,1
4592,K04873,CACNG8; voltage-dependent calcium channel gamma-8,1,1,1,1,1,1
4593,K04874,"KCNA1, KV1.1; potassium voltage-gated channel Shaker-related subfamily A member 1",1,1,1,1,1,1
4594,K04875,"KCNA2, KV1.2; potassium voltage-gated channel Shaker-related subfamily A member 2",1,1,1,1,1,1
4595,K04876,"KCNA3, KV1.3; potassium voltage-gated channel Shaker-related subfamily A member 3",1,1,1,1,1,1
4596,K04877,"KCNA4, KV1.4; potassium voltage-gated channel Shaker-related subfamily A member 4",1,1,1,1,1,1
4597,K04878,"KCNA5, KV1.5; potassium voltage-gated channel Shaker-related subfamily A member 5",1,1,1,1,1,1
4598,K04879,"KCNA6, KV1.6; potassium voltage-gated channel Shaker-related subfamily A member 6",1,1,1,1,1,1
4599,K04880,"KCNA7, KV1.7; potassium voltage-gated channel Shaker-related subfamily A member 7",1,1,1,1,1,1
4600,K04881,"KCNA10, KV1.8; potassium voltage-gated channel Shaker-related subfamily A member 10",1,1,1,1,1,1
4601,K04882,"KCNAB1; potassium voltage-gated channel Shaker-related subfamily A, beta member 1",1,1,1,1,1,1
4602,K04883,"KCNAB2; potassium voltage-gated channel Shaker-related subfamily A, beta member 2",1,1,1,1,1,1
4603,K04884,"KCNAB3; potassium voltage-gated channel Shaker-related subfamily A, beta member 3",1,1,1,1,1,1
4604,K04885,"KCNB1, KV2.1; potassium voltage-gated channel Shab-related subfamily B member 1",1,1,1,1,1,1
4605,K04886,"KCNB2, KV2.2; potassium voltage-gated channel Shab-related subfamily B member 2",1,1,1,1,1,1
4606,K04887,"KCNC1, KV3.1; potassium voltage-gated channel Shaw-related subfamily C member 1",1,1,1,1,1,1
4607,K04888,"KCNC2, KV3.2; potassium voltage-gated channel Shaw-related subfamily C member 2",1,1,1,1,1,1
4608,K04889,"KCNC3, KV3.3; potassium voltage-gated channel Shaw-related subfamily C member 3",1,1,1,1,1,1
4609,K04890,"KCNC4, KV3.4; potassium voltage-gated channel Shaw-related subfamily C member 4",1,1,1,1,1,1
4610,K04891,"KCND1, KV4.1; potassium voltage-gated channel Shal-related subfamily D member 1",1,1,1,1,1,1
4611,K04892,"KCND2, KV4.2; potassium voltage-gated channel Shal-related subfamily D member 2",1,1,1,1,1,1
4612,K04893,"KCND3, KV4.3; potassium voltage-gated channel Shal-related subfamily D member 3",1,1,1,1,1,1
4613,K04894,KCNE1; potassium voltage-gated channel Isk-related subfamily E member 1,1,1,1,1,1,1
4614,K04895,KCNE1L; potassium voltage-gated channel Isk-related subfamily E member 1-like,1,1,1,1,1,1
4615,K04896,KCNE2; potassium voltage-gated channel Isk-related subfamily E member 2,1,1,1,1,0,1
4616,K04897,KCNE3; potassium voltage-gated channel Isk-related subfamily E member 3,1,1,1,1,1,1
4617,K04898,KCNE4; potassium voltage-gated channel Isk-related subfamily E member 4,1,1,1,1,1,1
4618,K04899,"KCNF1, KV5.1; potassium voltage-gated channel subfamily F member 1",1,1,1,1,1,1
4619,K04900,"KCNG1, KV6.1; potassium voltage-gated channel subfamily G member 1",1,1,1,1,1,1
4620,K04901,"KCNG2, KV6.2; potassium voltage-gated channel subfamily G member 2",1,1,1,1,1,1
4621,K04902,"KCNG3, KV6.3; potassium voltage-gated channel subfamily G member 3",1,1,1,1,1,1
4622,K04903,"KCNG4, KV6.4; potassium voltage-gated channel subfamily G member 4",1,1,1,1,1,1
4623,K04904,"KCNH1, KV10.1; potassium voltage-gated channel Eag-related subfamily H member 1",1,1,1,1,1,1
4624,K04905,"KCNH2, KV11.1; potassium voltage-gated channel Eag-related subfamily H member 2",1,1,1,1,1,1
4625,K04906,"KCNH3, KV12.2; potassium voltage-gated channel Eag-related subfamily H member 3",1,1,1,1,1,1
4626,K04907,"KCNH4, KV12.3; potassium voltage-gated channel Eag-related subfamily H member 4",1,1,1,1,1,1
4627,K04908,"KCNH5, KV10.2; potassium voltage-gated channel Eag-related subfamily H member 5",1,1,1,1,1,1
4628,K04909,"KCNH6, KV11.2; potassium voltage-gated channel Eag-related subfamily H member 6",1,1,1,1,1,1
4629,K04910,"KCNH7, KV11.3; potassium voltage-gated channel Eag-related subfamily H member 7",1,1,1,1,1,1
4630,K04911,"KCNH8, KV12.1; potassium voltage-gated channel Eag-related subfamily H member 8",1,1,1,1,1,1
4631,K04912,"KCNK1, K2P1.1; potassium channel subfamily K member 1",1,1,1,1,1,1
4632,K04913,"KCNK2, K2P2.1; potassium channel subfamily K member 2",1,1,1,1,1,1
4633,K04914,"KCNK3, K2P3.1; potassium channel subfamily K member 3",1,1,1,1,1,1
4634,K04915,"KCNK4, K2P4.1; potassium channel subfamily K member 4",1,1,1,1,1,1
4635,K04916,"KCNK5, K2P5.1; potassium channel subfamily K member 5",1,1,1,1,1,1
4636,K04917,"KCNK6, K2P6.1; potassium channel subfamily K member 6",1,1,1,1,1,1
4637,K04918,"KCNK7, K2P7.1; potassium channel subfamily K member 7",1,1,1,1,1,1
4638,K04919,"KCNK9, K2P9.1; potassium channel subfamily K member 9",1,1,1,1,1,1
4639,K04920,"KCNK10, K2P10.1; potassium channel subfamily K member 10",1,1,1,1,1,1
4640,K04921,"KCNK12, K2P12.1; potassium channel subfamily K member 12",1,1,1,1,1,1
4641,K04922,"KCNK13, K2P13.1; potassium channel subfamily K member 13",1,1,1,1,1,1
4642,K04923,"KCNK15, K2P15.1; potassium channel subfamily K member 15",1,1,1,1,1,1
4643,K04924,"KCNK16, K2P16.1; potassium channel subfamily K member 16",1,1,1,1,1,1
4644,K04925,"KCNK17, K2P17.1; potassium channel subfamily K member 17",1,1,1,1,1,1
4645,K04926,"KCNQ1, KV7.1; potassium voltage-gated channel KQT-like subfamily member 1",1,1,1,1,1,1
4646,K04927,"KCNQ2, KV7.2; potassium voltage-gated channel KQT-like subfamily member 2",1,1,1,1,1,1
4647,K04928,"KCNQ3, KV7.3; potassium voltage-gated channel KQT-like subfamily member 3",1,1,1,1,1,1
4648,K04929,"KCNQ4, KV7.4; potassium voltage-gated channel KQT-like subfamily member 4",1,1,1,1,1,1
4649,K04930,"KCNQ5, KV7.5; potassium voltage-gated channel KQT-like subfamily member 5",1,1,1,1,1,1
4650,K04931,"KCNS1, KV9.1; potassium voltage-gated channel delayed-rectifier subfamily S member 1",1,1,1,1,1,1
4651,K04932,"KCNS2, KV9.2; potassium voltage-gated channel delayed-rectifier subfamily S member 2",1,1,1,1,1,1
4652,K04933,"KCNS3, KV9.3; potassium voltage-gated channel delayed-rectifier subfamily S member 3",1,1,1,1,1,1
4653,K04934,"KCNV1, KV8.1; potassium channel subfamily V member 1",1,1,1,1,1,1
4654,K04935,"KCNV2, KV8.2; potassium channel subfamily V member 2",1,1,1,1,1,1
4655,K04936,"KCNMA1, KCA1.1; potassium large conductance calcium-activated channel subfamily M alpha member 1",1,1,1,1,1,1
4656,K04937,KCNMB1; potassium large conductance calcium-activated channel subfamily M beta member 1,1,1,1,1,1,1
4657,K04938,KCNMB2; potassium large conductance calcium-activated channel subfamily M beta member 2,1,1,1,1,1,1
4658,K04939,KCNMB3; potassium large conductance calcium-activated channel subfamily M beta member 3,1,1,1,1,1,1
4659,K04940,odh; opine dehydrogenase [EC:1.5.1.28],0,0,0,0,0,0
4660,K04941,KCNMB4; potassium large conductance calcium-activated channel subfamily M beta member 4,1,1,1,1,1,1
4661,K04942,"KCNN1, KCA2.1; potassium intermediate/small conductance calcium-activated channel subfamily N member 1",1,1,1,1,1,1
4662,K04943,"KCNN2, KCA2.2; potassium intermediate/small conductance calcium-activated channel subfamily N member 2",1,0,0,1,0,1
4663,K04944,"KCNN3, KCA2.3; potassium intermediate/small conductance calcium-activated channel subfamily N member 3",1,1,1,1,1,1
4664,K04945,"KCNN4, KCA3.1; potassium intermediate/small conductance calcium-activated channel subfamily N member 4",1,1,1,1,1,1
4665,K04946,"KCNT1, KNA1.1; potassium channel subfamily T member 1",1,1,1,1,1,1
4666,K04947,"KCNT2, KNA1.2; potassium channel subfamily T member 2",1,1,1,1,1,1
4667,K04948,CNGA1; cyclic nucleotide gated channel alpha 1,1,1,1,1,1,1
4668,K04949,CNGA2; cyclic nucleotide gated channel alpha 2,1,1,1,1,1,1
4669,K04950,CNGA3; cyclic nucleotide gated channel alpha 3,1,1,1,1,1,1
4670,K04951,CNGA4; cyclic nucleotide gated channel alpha 4,1,1,1,1,1,1
4671,K04952,CNGB1; cyclic nucleotide gated channel beta 1,1,0,0,0,1,0
4672,K04953,CNGB3; cyclic nucleotide gated channel beta 3,1,1,1,1,1,1
4673,K04954,HCN1; hyperpolarization activated cyclic nucleotide-gated potassium channel 1,1,1,1,1,1,1
4674,K04955,HCN2; hyperpolarization activated cyclic nucleotide-gated potassium channel 2,1,1,1,1,1,1
4675,K04956,HCN3; hyperpolarization activated cyclic nucleotide-gated potassium channel 3,1,1,1,1,1,1
4676,K04957,HCN4; hyperpolarization activated cyclic nucleotide-gated potassium channel 4,1,1,1,1,1,1
4677,K04958,"ITPR1; inositol 1,4,5-triphosphate receptor type 1",1,1,1,1,1,1
4678,K04959,"ITPR2; inositol 1,4,5-triphosphate receptor type 2",1,1,1,1,1,1
4679,K04960,"ITPR3; inositol 1,4,5-triphosphate receptor type 3",1,1,1,1,1,1
4680,K04961,RYR1; ryanodine receptor 1,1,1,1,1,1,1
4681,K04962,RYR2; ryanodine receptor 2,1,1,1,1,1,1
